Timestamp,Depth Inside (ft),Pressure Inside (PSIG),Velocity (m/s),Depth Outside (m),Pressure Outside (PSIG),Voltage Inside,Voltage Outside,Channel Inside,Channel Outside
2025-02-08 23:10:22,-0.5665684987945189,-0.24532415997802667,-0.5259907682098385,-0.5203714367981572,-0.22532083213360207,0.02287569811090426,0.027125827814569535,189,216
2025-02-08 23:10:22,-0.5597748132068185,-0.24238249411855242,-0.4510333627300418,-0.5258063852683175,-0.22767416482118147,0.023500717184972687,0.026625812555314796,182,214
2025-02-08 23:10:23,-0.5611335503243586,-0.24297082729044728,-0.4687276200942457,-0.5244476481507774,-0.2270858316492866,0.023375713370159,0.026750816370128484,188,216
2025-02-08 23:10:23,-0.5624922874418987,-0.24355916046234213,-0.4857777983634715,-0.5230889110332373,-0.22649749847739176,0.023250709555345316,0.026875820184942167,187,215
2025-02-08 23:10:24,-0.5624922874418987,-0.24355916046234213,-0.44192063826409833,-0.5298825966209375,-0.22943916433686593,0.023250709555345316,0.026250801110873745,188,213
2025-02-08 23:10:25,-0.5611335503243586,-0.24297082729044728,-0.4773288443107527,-0.5230889110332373,-0.22649749847739176,0.023375713370159,0.026875820184942167,188,216
2025-02-08 23:10:25,-0.5611335503243586,-0.24297082729044728,-0.4687276200942457,-0.5244476481507774,-0.2270858316492866,0.023375713370159,0.026750816370128484,188,214
2025-02-08 23:10:26,-0.5611335503243586,-0.24297082729044728,-0.4326160038092965,-0.5298825966209375,-0.22943916433686593,0.023375713370159,0.026250801110873745,187,215
2025-02-08 23:10:26,-0.567927235912059,-0.24591249314992153,-0.5181978815762885,-0.5230889110332373,-0.22649749847739176,0.022750694296090578,0.026875820184942167,186,217
2025-02-08 23:10:27,-0.5543398647366583,-0.24002916143097305,-0.4687276200942452,-0.5176539625630772,-0.22414416578981242,0.024000732444227426,0.027375835444196906,191,219
2025-02-08 23:10:27,-0.5556986018541984,-0.2406174946028679,-0.4687276200942457,-0.5190126996806171,-0.22473249896170722,0.02387572862941374,0.027250831629383222,192,219
2025-02-08 23:10:28,-0.5543398647366583,-0.24002916143097305,-0.4599655835683717,-0.5190126996806171,-0.22473249896170722,0.024000732444227426,0.027250831629383222,190,217
2025-02-08 23:10:28,-0.5556986018541984,-0.2406174946028679,-0.4510333627300423,-0.5217301739156972,-0.2259091653054969,0.02387572862941374,0.02700082399975585,192,214
2025-02-08 23:10:29,-0.5584160760892786,-0.24179416094665762,-0.4940822939093081,-0.5176539625630772,-0.22414416578981242,0.02362572099978637,0.027375835444196906,192,217
2025-02-08 23:10:29,-0.5461874420314181,-0.23649916239960403,-0.4510333627300423,-0.5122190140929169,-0.22179083310223302,0.024750755333109532,0.027875850703451645,197,222
2025-02-08 23:10:30,-0.5489049162664982,-0.2376758287433937,-0.4773288443107527,-0.5108602769753768,-0.22120249993033816,0.02450074770348216,0.02800085451826533,194,215
2025-02-08 23:10:31,-0.5448287049138781,-0.23591082922770923,-0.4326160038092965,-0.5135777512104569,-0.22237916627412785,0.024875759147923216,0.02775084688863796,196,221
2025-02-08 23:10:31,-0.5502636533840383,-0.23826416191528857,-0.4599655835683722,-0.514936488327997,-0.2229674994460227,0.024375743888668477,0.027625843073824274,197,224
2025-02-08 23:10:32,-0.5475461791489581,-0.23708749557149886,-0.42310679855102906,-0.5176539625630772,-0.22414416578981242,0.02462575151829585,0.027375835444196906,197,221
2025-02-08 23:10:32,-0.5543398647366583,-0.24002916143097305,-0.4687276200942452,-0.5176539625630772,-0.22414416578981242,0.024000732444227426,0.027375835444196906,192,219
2025-02-08 23:10:33,-0.5475461791489581,-0.23708749557149886,-0.43261600380929544,-0.5162952254455371,-0.22355583261791756,0.02462575151829585,0.02750083925901059,197,217
2025-02-08 23:10:33,-0.5597748132068185,-0.24238249411855242,-0.485777798363471,-0.5203714367981572,-0.22532083213360207,0.023500717184972687,0.027125827814569535,190,217
2025-02-08 23:10:34,-0.5556986018541984,-0.2406174946028679,-0.47732884431075173,-0.5176539625630772,-0.22414416578981242,0.02387572862941374,0.027375835444196906,192,217
2025-02-08 23:10:34,-0.5570573389717385,-0.24120582777476277,-0.4773288443107527,-0.5190126996806171,-0.22473249896170722,0.023750724814600055,0.027250831629383222,189,213
2025-02-08 23:10:35,-0.5652097616769788,-0.24473582680613182,-0.44192063826409833,-0.5326000708560176,-0.2306158306806556,0.02300070192571795,0.026000793481246377,185,214
2025-02-08 23:10:35,-0.5638510245594388,-0.244147493634237,-0.494082293909309,-0.5230889110332373,-0.22649749847739176,0.023125705740531632,0.026875820184942167,187,213
2025-02-08 23:10:36,-0.5611335503243586,-0.24297082729044728,-0.4687276200942457,-0.5244476481507774,-0.2270858316492866,0.023375713370159,0.026750816370128484,186,212
2025-02-08 23:10:36,-0.5692859730295989,-0.24650082632181633,-0.5022494966911437,-0.5271651223858574,-0.22826249799307627,0.022625690481276894,0.026500808740501113,188,213
2025-02-08 23:10:37,-0.5584160760892786,-0.24179416094665762,-0.4599655835683722,-0.5230889110332373,-0.22649749847739176,0.02362572099978637,0.026875820184942167,189,214
2025-02-08 23:10:38,-0.5624922874418987,-0.24355916046234213,-0.4773288443107522,-0.5244476481507774,-0.2270858316492866,0.023250709555345316,0.026750816370128484,189,209
2025-02-08 23:10:38,-0.5611335503243586,-0.24297082729044728,-0.4599655835683717,-0.5258063852683175,-0.22767416482118147,0.023375713370159,0.026625812555314796,190,212
2025-02-08 23:10:39,-0.5597748132068185,-0.24238249411855242,-0.4510333627300418,-0.5258063852683175,-0.22767416482118147,0.023500717184972687,0.026625812555314796,190,215
